,,,,,,,,,,,,,,,,Bitcoin,,,,,,,,,
Trade Date,Week,BTC price,Change from First day of Entry,Investment Multiple Optimum scenario,Buy/Sell Multiplier,Investment Amount Optimum scenario,BTC unit Optimum scenario,Total Investment Optimum scenario,Capital Balance Optimum scenario,Rolling Weekly Profit/Loss,AVG buying price Optimum DCA,BTC unit Simple DCA,Investment Amount DCA scenario,AVG buying price Simple DCA,Capital and Risk Management,"$116,157.11",,,,,,,,,
1-10-2022,1,"$41,817.00",0.00%,239.56%,2,"$1,098.90",0.02627873,"$1,098.90","$50,901.10",0.00%,"$41,817.00",0.00597843,$250.00,"$41,817.00",Capital Reserve ,,,,,,,,,,
1-17-2022,2,"$42,211.27",0.94%,219.15%,2,"$1,047.88",0.02482456,"$2,146.77","$49,802.20",0.48%,"$42,008.53",0.00592259,$250.00,"$42,013.21","$10,928.00",,,,,,,,,,
1-24-2022,3,"$36,660.00",-12.33%,256.81%,3,"$1,392.02",0.03797114,"$3,538.80","$48,754.33",-7.72%,"$39,728.53",0.00681942,$250.00,"$40,063.16",Total Investment,,,,,,,,,,
1-31-2022,4,"$38,463.00",-8.02%,236.24%,3,"$1,340.60",0.03485436,"$4,879.40","$47,362.31",-2.31%,"$39,372.60",0.00649975,$250.00,"$39,650.77","$52,000.00",,,,,,,,,,
2-7-2022,5,"$43,869.04",4.91%,95.09%,,$487.73,0.01111791,"$5,367.13","$46,021.70",10.38%,"$39,742.78",0.00569878,$250.00,"$40,428.25",Investment Period (months),,,,,,,,,,
2-14-2022,6,"$42,540.30",1.73%,98.27%,,$495.68,0.01165191,"$5,862.81","$45,533.97",6.44%,"$39,964.98",0.00587678,$250.00,"$40,765.57",,,,,,,,,,,
2-21-2022,7,"$37,076.60",-11.34%,256.31%,2,"$1,140.77",0.03076791,"$7,003.58","$45,038.30",-6.05%,"$39,464.21",0.00674280,$250.00,"$40,194.26",48,,,,,,,,,,
2-28-2022,8,"$43,179.25",3.26%,96.74%,,$491.86,0.01139102,"$7,495.43","$43,897.53",8.80%,"$39,688.29",0.00578982,$250.00,"$40,544.62",Weekly Budget,,,,,,,,,,
3-7-2022,9,"$38,001.05",-9.13%,109.13%,,$522.81,0.01375787,"$8,018.25","$43,405.67",-3.97%,"$39,573.72",0.00657877,$250.00,"$40,245.31",$250.00,,,,,,,,,,
3-14-2022,10,"$39,649.05",-5.18%,105.18%,,$512.96,0.01293753,"$8,531.21","$42,882.86",0.18%,"$39,578.24",0.00630532,$250.00,"$40,184.88",Investment Period (weeks),,,,,,,,,,
3-21-2022,11,"$41,078.00",-1.77%,101.77%,,$504.42,0.01227952,"$9,035.62","$42,369.90",3.58%,"$39,659.07",0.00608598,$250.00,"$40,264.46",,,,,,,,,,,
3-28-2022,12,"$47,223.65",12.93%,87.07%,,$467.68,0.00990344,"$9,503.30","$41,865.48",18.14%,"$39,974.19",0.00529396,$250.00,"$40,765.08",208,,,,,,,,,,
4-4-2022,13,"$46,663.00",11.59%,88.41%,,$471.03,0.01009426,"$9,974.33","$41,397.80",15.94%,"$40,246.63",0.00535756,$250.00,"$41,165.32",Reserve cap,,,,,,,,,,
4-11-2022,14,"$39,544.03",-5.44%,105.44%,,$513.59,0.01298777,"$10,487.92","$40,926.77",-1.66%,"$40,211.65",0.00632207,$250.00,"$41,045.11",21.02%,,,0.982703207,,,,,,,
4-18-2022,15,"$40,818.88",-2.39%,102.39%,,$505.97,0.01239542,"$10,993.89","$40,413.18",1.44%,"$40,239.20",0.00612462,$250.00,"$41,029.95",,,,,,,,,,,
4-25-2022,16,"$40,473.75",-3.21%,103.21%,,$508.03,0.01255210,"$11,501.92","$39,907.22",0.56%,"$40,249.50",0.00617684,$250.00,"$40,994.74",,,,,,,,,,,
5-2-2022,17,"$38,566.06",-7.77%,107.77%,,$519.44,0.01346872,"$12,021.35","$39,399.19",-4.00%,"$40,173.73",0.00648238,$250.00,"$40,843.44",,,,,,,,,,,
5-9-2022,18,"$30,076.31",-28.08%,294.30%,2,"$1,235.76",0.04108752,"$13,257.11","$38,879.75",-22.79%,"$38,954.65",0.00831219,$250.00,"$40,046.97",,,,,,,,,,,
5-16-2022,19,"$29,889.61",-28.52%,251.13%,2,"$1,127.83",0.03773313,"$14,384.94","$37,643.99",-21.45%,"$38,049.88",0.00836411,$250.00,"$39,343.28",,,,,,,,,,,
5-23-2022,20,"$29,088.25",-30.44%,257.17%,2,"$1,142.92",0.03929134,"$15,527.86","$36,516.16",-21.82%,"$37,206.18",0.00859454,$250.00,"$38,661.77",,,,,,,,,,,
5-30-2022,21,"$31,735.95",-24.11%,124.11%,,$560.27,0.01765408,"$16,088.13","$35,373.25",-14.19%,"$36,984.18",0.00787750,$250.00,"$38,264.13",,,,,,,,,,,
6-6-2022,22,"$31,333.68",-25.07%,125.07%,,$562.67,0.01795748,"$16,650.80","$34,812.98",-14.76%,"$36,760.16",0.00797864,$250.00,"$37,883.26",,,,,,,,,,,
6-13-2022,23,"$22,316.26",-46.63%,373.10%,3,"$1,682.76",0.07540497,"$18,333.56","$34,250.30",-35.69%,"$34,698.81",0.01120259,$250.00,"$36,768.13",,,,,,,,,,,
6-20-2022,24,"$20,571.63",-50.81%,339.39%,3,"$1,598.47",0.07770276,"$19,932.03","$32,567.55",-37.45%,"$32,887.59",0.01215266,$250.00,"$35,600.26",,,,,,,,,,,
6-27-2022,25,"$20,751.05",-50.38%,324.53%,3,"$1,561.32",0.07524040,"$21,493.35","$30,969.07",-34.22%,"$31,547.28",0.01204758,$250.00,"$34,609.61",,,,,,,,,,,
7-4-2022,26,"$20,226.30",-51.63%,329.00%,3,"$1,572.49",0.07774481,"$23,065.84","$29,407.76",-33.44%,"$30,387.74",0.01236014,$250.00,"$33,688.21",,,,,,,,,,,
7-11-2022,27,"$19,971.33",-52.24%,327.68%,3,"$1,569.19",0.07857223,"$24,635.03","$27,835.27",-32.09%,"$29,410.64",0.01251794,$250.00,"$32,852.51",,,,,,,,,,,
