Date,Weekly Close,Weekly Volume,Weekly Volatility,Weekly Variance,14 Week MA Volatility,Weekly Weighted Volume,14 Week VWAP MA,,Multiple calculation,Buy/Sell Multiplier,,Price lower 2 SD,price upper 2 SD,Price lower 3 SD,price upper 3 SD,Price lower 4 SD,price upper 4 SD,,AVG,MIN,MAX,AVG VAR,SD
,,,,,,,,,,,,,,,,,,,1.27%,-100.00%,45.94%,1.10%,10.51%
9-22-2014,$400.88,,0.00%,0.02%,,,,,,,,,,,,,,,,,,,
9-29-2014,$373.06,"$186,772,600",-6.94%,0.67%,4.91%,"$69,677,386,156",$373.06,,100.00%,,,$336.45,$409.67,$318.14,$427.98,$299.83,$446.29,100.00%,,,,,
10-6-2014,$326.80,"$276,657,896",-12.40%,1.87%,6.21%,"$90,411,800,413",$345.44,,100.00%,,,$302.51,$388.38,$281.04,$409.85,$259.57,$431.32,100.00%,,,,,
10-13-2014,$391.99,"$341,152,804",19.95%,3.49%,14.14%,"$133,728,487,640",$365.18,,100.00%,,,$261.91,$468.45,$210.28,$520.08,$158.65,$571.71,100.00%,,,,,
10-20-2014,$381.19,"$156,902,070",-2.76%,0.16%,12.31%,"$59,809,500,063",$367.79,,100.00%,,,$277.21,$458.37,$231.93,$503.66,$186.64,$548.95,100.00%,,,,,
10-27-2014,$350.02,"$113,691,800",-8.18%,0.89%,11.46%,"$39,794,403,836",$365.91,,100.00%,,,$282.05,$449.77,$240.12,$491.70,$198.19,$533.63,100.00%,,,,,
11-3-2014,$325.36,"$107,075,700",-7.05%,0.69%,10.65%,"$34,838,149,752",$362.24,,100.00%,,,$285.07,$439.41,$246.48,$478.00,$207.89,$516.59,100.00%,,,,,
11-10-2014,$365.50,"$116,793,470",12.34%,1.22%,11.17%,"$42,688,013,285",$362.53,,100.00%,,,$281.56,$443.50,$241.08,$483.99,$200.59,$524.48,100.00%,,,,,
11-17-2014,$387.50,"$208,239,500",6.02%,0.23%,10.68%,"$80,692,806,250",$365.98,,100.00%,,,$287.82,$444.15,$248.74,$483.23,$209.66,$522.31,100.00%,,,,,
