duration,start_date,end_date,weeks,final_btc_price,optimum_btc,optimum_investment,optimum_value,optimum_profit,optimum_return_pct,simple_btc,simple_investment,simple_value,simple_profit,simple_return_pct,outperformance_pct,outperformance_ratio
1-Year,2016-01-01,2016-12-30,52,961.18,10.821832729889268,-107.01431755090562,10401.729183314967,10508.743500865872,0.0,24.313083853266082,13000.0,23369.249938082292,10369.249938082292,79.76346106217149,-79.76346106217149,0.0
1-Year,2016-01-08,2017-01-06,52,892.46,9.235833720615755,-1504.8537878712307,8242.612162300737,9747.465950171967,0.0,23.98211776682671,13000.0,21403.080822182168,8403.080822182168,64.63908324755513,-64.63908324755513,0.0
1-Year,2016-01-15,2017-01-13,52,826.75,3.5693184705361722,-4584.736370893128,2950.9340455157803,7535.670416408908,0.0,23.70206074651736,13000.0,19595.678722183227,6595.678722183227,50.73599017064021,-50.73599017064021,0.0
1-Year,2016-01-22,2017-01-20,52,895.17,3.1368372710388597,-4509.812560916822,2808.002619915856,7317.815180832678,0.0,23.3533910555259,13000.0,20905.25507117512,7905.255071175121,60.809654393654775,-60.809654393654775,0.0
1-Year,2016-01-29,2017-01-27,52,920.45,0.18396750755363347,-5967.545014727525,169.33289232774194,6136.877907055267,0.0,22.987618987489014,13000.0,21158.953897034266,8158.9538970342655,62.7611838233405,-62.7611838233405,0.0
1-Year,2016-02-05,2017-02-03,52,1015.3,-1.060175790906708,-6361.145188059294,-1076.3964805075807,5284.748707551713,0.0,22.58581149048004,13000.0,22931.374406284383,9931.374406284383,76.3951877406491,-76.3951877406491,0.0
1-Year,2016-02-12,2017-02-10,52,996.65,-0.9243802254071504,-6331.395834829186,-921.2835516520364,5410.11228317715,0.0,22.15591462291975,13000.0,22081.69230893297,9081.692308932968,69.85917160717669,-69.85917160717669,0.0
1-Year,2016-02-19,2017-02-17,52,1058.67,0.7950808603933226,-4887.488472353838,841.7282544725989,5729.216726826437,0.0,21.779784413098216,13000.0,23057.60436461469,10057.60436461469,77.366187420113,-77.366187420113,0.0
1-Year,2016-02-26,2017-02-24,52,1185.49,-1.2127824217815713,-6336.445177551718,-1437.741433197835,4898.703744353883,0.0,21.438041861838947,13000.0,25414.58424679145,12414.584246791452,95.49680189839577,-95.49680189839577,0.0
1-Year,2016-03-04,2017-03-03,52,1289.36,-5.206228024304447,-9309.856637849378,-6712.702165417181,2597.1544724321966,0.0,21.076332704549063,13000.0,27174.98033593738,14174.98033593738,109.03831027644138,-109.03831027644138,0.0
1-Year,2016-03-11,2017-03-10,52,1098.53,-7.3517195010849345,-11091.197036631129,-8076.084423526833,3015.1126131042956,0.0,20.6663125270665,13000.0,22702.56430035836,9702.564300358361,74.63511000275662,-74.63511000275662,0.0
1-Year,2016-03-18,2017-03-17,52,1072.08,-9.67061892229033,-12830.96413984783,-10367.677134209016,2463.2870056388147,0.0,20.265656938132306,13000.0,21726.405490232883,8726.405490232883,67.12619607871449,-67.12619607871449,0.0
1-Year,2016-03-25,2017-03-24,52,935.06,-9.924677687996303,-12610.417361868424,-9280.169118937822,3330.248242930602,0.0,19.89917461109286,13000.0,18606.92221184849,5606.92221184849,43.130170860373,-43.130170860373,0.0
